"Thanks for taking time to call  yesterday.  Good luck with the Lockyer situ=
ation.  I truly do believe  that direct and prompt interaction with Lockyer=
 will prove more effective for  Enron than delayed or intermediated action.=
    As we discussed,  if I can be of any help with reconnaissance or as sou=
nding  board, just let me know.
=20
I have attached an article from  this morning's LA Times.  It provides an C=
alifornia view on how the  shakeup in the Senate might impact the state's e=
nergy  situation.  Certainly, by the time that President Bush visits  the C=
alifornia in a few days, the state's two Democratic US  Senators will be a =
good bit more empowered.
=20
Kevin
213-926-2626
=20
	",1
"internal project

Jeff
 
I have prepared the attached chart for  you.  It captures the ideas we discussed last week.
Please call when you have a chance.  I  look forward to talking with you.
 
Kevin
internal project

Jeff
 
I have prepared the attached chart for  you.  It captures the ideas we discussed last week.
Please call when you have a chance.  I  look forward to talking with you.
 
Kevin
internal project

Jeff
 
I have prepared the attached chart for  you.  It captures the ideas we discussed last week.
Please call when you have a chance.  I  look forward to talking with you.
 
Kevin
internal project

Jeff
 
I have prepared the attached chart for  you.  It captures the ideas we discussed last week.
Please call when you have a chance.  I  look forward to talking with you.
 
Kevin
internal project

Jeff
 
I have prepared the attached chart for  you.
  It captures the ideas we discussed last week.

Please call when you have a chance.
  I  look forward to talking with you.
 
Kevin	1",1
"Karen

Here it is!

Plenty of good Houston input here as well as Europe.


An excellent general article has resulted; nice pictures too.  
I'll get some 
original copies couriered over to you asap.


We are organising bi-lingual reprints. 
 Please let Iona know how many you'd 
like.

Thanks",1
"Jim- Do you have a list of who I talked to in Houston and their affiliation.
 I would like to keep straight who I have spoken with. 
 The only card I received is from Michael Geffroy.
 Let me know if there is a problem with this request. Thanks, Rick Buy",1
"Once the website is functional, 
it will be helpful to have a complete history 
of deals and having these 
kind of memos in dash format will aid this process.
 

One final thought, Michael is quite supportive of our effort 
and I think we 
should pick battles carefully. Rick",1
"To keep pace with the fluid and fast-changing demands of our equity trading activities,
 Enron Wholesale Services (""EWS"") has recently revised its official Policies and Procedures Regarding 
 Confidential Information and Securities Trading (""Policies and Procedures"").
 These revisions reflect two major developments: (1) our equity trading activities have been extended into the United Kingdom,
 and (2) in an effort to streamline the information flow process, 
 the ""Review Team"" will play a more centralized role, 
 so that the role of the ""Resource Group"" is no longer necessary.
 You are required to become familiar with, and to comply with, the Policies and Procedures.
 The newly revised Policies and Procedures are available for your review on LegalOnline, 
 the new intranet website maintained by the Enron Wholesale Services Legal Department.  
 Please click on the attached link to access LegalOnline:
 http://legalonline.corp.enron.com/chinesewall.asp 
7.
If you have already certified compliance with the Policies and Procedures during the 2001 calendar year,",1
"If you have already certified compliance with the Policies and Procedures during the 2001 calendar year,
 you need not re-certify at this time, although you are still required to to review and become 
 familiar with the revised Policies and Procedures.  
 If you have not certified compliance with the Policies and Procedures during the 2001 calendar year,
 then you must do so within two weeks of your receipt of this message. 
 The LegalOnline site will allow you to quickly and conveniently certify your compliance on-line with your SAP Personal ID number.
 If you have any questions concerning the Policies or Procedures, please call Bob Bruce at extension 5-7780 or Donna Lowry at extension 3-1939.
",1
"
You are required to become familiar with, and to comply with, the Policies 
and Procedures.  The newly revised Policies and Procedures are available for 
your review on LegalOnline, the new intranet website maintained by the Enron 
Wholesale Services Legal Department.  Please click on the attached link to 
access LegalOnline:
",1
"
You must certify your compliance with the Policies and Procedures within two 
weeks of your receipt of this message.  The LegalOnline site will allow you 
to quickly and conveniently certify your compliance on-line with your SAP 
Personal ID number.  If you have any questions concerning the Policies or 
Procedures, please call Lance Schuler at extension 3-5419, Mark Haedicke at 
extension 3-6544, Alan Aronowitz at extension 3-3214, Bob Bruce at extension 
5-7780 or Donna Lowry at extension 3-1939.
",1
"Attached is Enron North America Corp.'s 
suggested revisions to your pro forma confidentiality agreement. 
 Please review and let us know if the suggested revisions are approved.

Thanks for your help,
Ruth Concannon
",1
